,Nombre_Institucion,Provincia,Canton,Parroquia,Numero_de_estudiantes,Numero_de_docentes
2605,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT TUNDAYME,ZAMORA CHINCHIPE,EL PANGUI,TUNDAYME,43,7
2614,CENTRO ARTESANAL GUAYZIMI,ZAMORA CHINCHIPE,NANGARITZA,GUAYZIMI,25,4
2621,ISABEL WAMPASH,ZAMORA CHINCHIPE,NANGARITZA,GUAYZIMI,45,3
2629,JOSÉ SHARUP,ZAMORA CHINCHIPE,NANGARITZA,ZURMI,26,2
2631,UNIDAD EDUCATIVA EXPERIMIENTAL A DISTANCIA ZAMORA CH EXT ZURMI,ZAMORA CHINCHIPE,NANGARITZA,ZURMI,48,4
2637,YAWINTS,ZAMORA CHINCHIPE,NANGARITZA,ZURMI,38,2
2643,TIWIRAM,ZAMORA CHINCHIPE,NANGARITZA,NUEVO PARAISO,35,3
2644,ARUTAM,ZAMORA CHINCHIPE,NANGARITZA,NUEVO PARAISO,24,2
2646,MANUEL CAIZA UNTUÑA,ZAMORA CHINCHIPE,NANGARITZA,NUEVO PARAISO,37,3
2651,ALBERTO SAETAMA MASACHE,ZAMORA CHINCHIPE,PALANDA,PALANDA,45,5
2655,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT PUCARON,ZAMORA CHINCHIPE,PALANDA,PALANDA,39,3
2656,CENTRO ARTESANAL PALANDA,ZAMORA CHINCHIPE,PALANDA,PALANDA,18,4
2657,CIUDAD DE RIOBAMBA,ZAMORA CHINCHIPE,PALANDA,PALANDA,33,3
2659,SAN AGUSTIN,ZAMORA CHINCHIPE,PALANDA,PALANDA,22,2
2660,OSWALDO GUAYASAMIN,ZAMORA CHINCHIPE,PALANDA,PALANDA,15,2
2661,ABDON CALDERON,ZAMORA CHINCHIPE,PALANDA,PALANDA,15,2
2663,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT FATIMA,ZAMORA CHINCHIPE,PALANDA,PALANDA,34,3
2666,PROVINCIA DE PASTAZA,ZAMORA CHINCHIPE,PALANDA,PALANDA,20,2
2668,CENTRO ARTESANAL VALLADOLID,ZAMORA CHINCHIPE,PALANDA,VALLADOLID,10,3
2669,GONZALO PIZARRO,ZAMORA CHINCHIPE,PALANDA,VALLADOLID,20,2
2671,CIUDAD DE LOYOLA,ZAMORA CHINCHIPE,PALANDA,VALLADOLID,37,4
2674,OSCAR EFREN REYES,ZAMORA CHINCHIPE,PALANDA,EL PORVENIR DEL CARMEN,25,2
2677,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT NUMBALA BAJO,ZAMORA CHINCHIPE,PALANDA,EL PORVENIR DEL CARMEN,14,2
2678,UNIDAD ED EXPERIM A DISTANCIA ZAMORA CH EXTSAN JUAN DE PUNCHIS,ZAMORA CHINCHIPE,PALANDA,SAN FRANCISCO DE VERGEL,50,4
2684,EDGAR JIJON,ZAMORA CHINCHIPE,PALANDA,EL PORVENIR DEL CARMEN,23,2
2688,ANGEL POLIBIO CHAVEZ,ZAMORA CHINCHIPE,PALANDA,EL PORVENIR DEL CARMEN,33,3
2689,MADRE TERESA DE CALCUTA,ZAMORA CHINCHIPE,PALANDA,SAN FRANCISCO DE VERGEL,22,2
2694,MARCO AGILA,ZAMORA CHINCHIPE,PALANDA,SAN FRANCISCO DE VERGEL,26,2
2701,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT BELLAVISTA,ZAMORA CHINCHIPE,PAQUISHA,BELLAVISTA,26,5
2707,ANTONIO CHUMAPI,ZAMORA CHINCHIPE,PAQUISHA,BELLAVISTA,41,3
2709,CIUDAD DE SARAGURO,ZAMORA CHINCHIPE,PAQUISHA,NUEVO QUITO,42,2
2710,JOAQUIN GALLEGOS LARA,ZAMORA CHINCHIPE,PAQUISHA,NUEVO QUITO,26,2
2713,HEROES DEL CENEPA,ZAMORA CHINCHIPE,PAQUISHA,NUEVO QUITO,40,2
2715,ABDON CALDERON MUÑOZ,ZAMORA CHINCHIPE,PAQUISHA,NUEVO QUITO,43,2
2729,ENRIQUE GIL GILBERTH,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),31,2
2733,ERNESTO GUEVARA,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),31,2
2735,FRAY ENRIQUE VACAS GALINDO,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),43,3
2736,GENERAL  QUIZQUIZ,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),20,2
2737,JOSÉ MARIA URBINA,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),30,2
2738,INKA SAMANA,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),15,2
2749,SEBASTIAN DE BENALCAZAR,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),38,3
2757,TUPAC AMARU,ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,30,2
2760,HERMANA ESPERANZA SARANGO,ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,22,2
2761,CIUDAD DE IBARRA,ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,50,3
2763,ESCUELA DANIEL MARTINEZ,ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,29,3
2764,JOSE MANUEL ARMIJOS PINEDA,ZAMORA CHINCHIPE,YACUAMBI,LA PAZ,37,3
2772,YAKUCHINKARIK,ZAMORA CHINCHIPE,YACUAMBI,TUTUPALI,36,3
2774,UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXTEN TUTUPALI,ZAMORA CHINCHIPE,YACUAMBI,TUTUPALI,35,4
2776,JAIME ROLDOS AGUILERA,ZAMORA CHINCHIPE,YACUAMBI,28 DE MAYO (SAN JOSE DE YACUAMBI),41,2
2779,UNIDAD EDU  A DISTANCIA ZAMORA CH EXT EL ZARZA,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),38,5
2789,ESCUELA LEOPOLDO LUCERO,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),24,2
2794,SOLDADO  RAFAEL  PULLAGUARI,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),50,3
2796,ESCUELA DR PEDRO MONCAYO,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),31,2
2804,ESCUELA ESPECIAL MATILDE GUZMAN,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),33,5
2806,HOMERO VITERI LAFONTE (PRIMARIO),ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),17,2
2813,ANDRES ANTUASH,ZAMORA CHINCHIPE,YANTZAZA,CHICAÑA,20,2
2814,TERESA DE CEPEDA Y FUERTES,ZAMORA CHINCHIPE,YANTZAZA,CHICAÑA,26,2
2820,ESCUELA GABRIEL GARCIA MORENO,ZAMORA CHINCHIPE,YANTZAZA,CHICAÑA,49,4
2825,ESCUELA PEDRO VICTOR FALCONI,ZAMORA CHINCHIPE,YANTZAZA,CHICAÑA,40,2
2836,CLEMENTE YEROVI INDABURO,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,28,2
2838,QUISQUIS,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,29,2
2840,6 DE OCTUBRE,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,45,4
2841,ESCUELA PADRE ISASSI,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,44,3
2843,ESCUELA BELISARIO QUEVEDO,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,19,2
2844,ESCUELA GONZALO ABAD,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,42,3
2849,CENTRO ENSEÑANZA INGLES   ALL  UP  TO  YOU,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),0,3
2851,YAMA TSAWANT,ZAMORA CHINCHIPE,YANTZAZA,YANTZAZA (YANZATZA),17,2
2852,FINE TUNED ZAMORA,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,0,3
2857,MONSEÑOR LEONIDAS PROAÑO,ZAMORA CHINCHIPE,ZAMORA,TIMBARA,22,2
2859,MANUEL CORDOVA GALARZA,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,10,3
2863,UNIDAD EDUCATIVA EXPERIMENTAL ADISTANCIA DE ZAMORA CH EXT LA PITUCA,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,42,4
2867,ANDRES FRANCISCO CORDOVA,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,31,6
2868,CENTRO ARTESANAL  JULIUS DOPFNER,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,30,5
2874,CONSERVATORIO SUPERIOR NACIONAL DE MUSICA MARCOS ANTONIO OCHOA MUÑOZ,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,0,6
2875,FLORA PEÑA DE ARIAS,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,28,3
2879,LUIS FELIPE BORJA NRO 8,ZAMORA CHINCHIPE,ZAMORA,SABANILLA,50,5
2880,ROSITA PAREDES JUMBOS,ZAMORA CHINCHIPE,ZAMORA,SABANILLA,31,2
2883,ALONSO DE MERCADILLO,ZAMORA CHINCHIPE,ZAMORA,EL LIMON,25,3
2891,LUIS ALBERTO VALENCIA,ZAMORA CHINCHIPE,ZAMORA,IMBANA (LA VICTORIA DE IMBANA),38,4
2893,JUAN DE VERGARA,ZAMORA CHINCHIPE,ZAMORA,IMBANA (LA VICTORIA DE IMBANA),29,3
2903,LUIS VARGAS TORRES,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,43,3
2907,CARLOS GARBAY,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,32,3
2910,JOSE MARTI,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,31,2
2911,ODILO AGUILAR,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,40,3
2912,LORENZO DE CEPEDA,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,23,3
2914,INTI PAKARI,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,33,2
2917,UNIDAD  EDUC EXPERIMENTAL  A DISTANCIA  ZAMORA EXT CHAMICO,ZAMORA CHINCHIPE,ZAMORA,CUMBARATZA,41,6
2924,13 DE ABRIL,ZAMORA CHINCHIPE,ZAMORA,CUMBARATZA,9,2
2935,CLODOVEO JIMENEZ CARPIO,ZAMORA CHINCHIPE,ZAMORA,TIMBARA,21,3
